Date,DE,ES,BE,CH,UK,NL,FR,IE,PT,IT
2035-04-30,12.85233625,14.112845416666666,13.490023749999999,10.044208750000001,11.516475,12.950300416666666,13.681967083333333,12.1223625,17.593891250000002,17.450084378307785
2035-05-01,14.940514166666667,15.991954166666666,15.26259125,13.735027083333334,11.8809025,13.96051875,16.229230833333332,11.847511249999998,18.709878333333332,20.17137738737371
2035-05-02,16.19146,18.382314583333333,16.26314875,14.903754583333333,11.86225375,14.107622916666665,17.45466958333333,11.28741625,19.27771,20.190365664035195
2035-05-03,18.027133333333335,18.665495833333335,17.018700416666665,14.432479166666667,11.118652500000001,15.028324166666666,17.03128125,8.986296666666666,16.883562083333334,19.84039889011025
2035-05-04,17.8152475,17.924795833333334,14.805024583333333,11.141101666666666,9.504145,14.3809525,14.217259583333332,9.534374166666668,16.893784999999998,18.166655488916284
2035-05-05,15.13227875,20.1582225,12.8618,11.51789625,8.7774525,12.577357083333332,14.550269583333334,7.261223333333334,18.355535416666665,18.251560774126713
2035-05-06,11.886496666666666,19.998875,11.046795416666667,9.02973375,8.308206666666667,10.797042916666667,13.724112916666668,8.611099166666667,18.31520375,17.284750246746217
2035-05-07,9.751434999999999,19.168209583333333,10.277541666666666,6.924922083333333,8.568360833333333,10.338407916666666,12.207065833333333,9.030299583333333,18.419799166666667,16.92079838283668
2035-05-08,8.882232499999999,15.074972500000001,8.457892916666667,5.8110245833333325,9.298917916666666,8.568080833333333,11.373852083333333,9.84031875,17.920898333333334,16.49966040788665
2035-05-09,8.543568333333333,13.258414166666668,8.587045416666667,4.3875625000000005,10.308194166666667,8.678781666666668,10.212927083333334,9.703800833333334,17.16899625,16.165897303404762
2035-05-10,9.64750375,13.556089166666666,10.40101875,5.559583333333333,11.183899166666668,9.772215416666667,12.000880416666666,10.650965833333332,17.24382375,15.147365542780511
2035-05-11,9.095872916666666,15.367305,10.315069583333333,5.05302625,11.163370833333333,9.646082916666666,13.494514583333334,9.516378333333334,18.670397916666666,15.193420764570153
2035-05-12,10.164786666666666,17.096264166666668,11.223861666666666,6.91914,10.62411875,10.227623333333334,14.280265,11.420680416666668,20.34193125,14.740477746185094
2035-05-13,11.885505416666668,18.481919583333333,15.04077375,10.355250416666665,11.862478333333334,13.236509166666666,16.5411075,11.773359166666667,20.345744999999997,15.723431265571751
2035-05-14,14.257172500000001,18.552493333333334,16.958772083333333,12.341761666666665,12.790162083333334,15.170879999999999,17.962214166666666,10.954202916666667,18.722149166666668,16.334854544834535
