 119   6.44656838e+04  6.44649223e+04  5.16e-07 4.55e-13  7.90e-07   277s
 120   6.44656364e+04  6.44649446e+04  4.63e-07 1.40e-13  7.18e-07   280s
 121   6.44656184e+04  6.44649683e+04  4.43e-07 9.09e-13  6.75e-07   284s
 122   6.44655927e+04  6.44649832e+04  4.15e-07 1.10e-13  6.33e-07   288s
 123   6.44655617e+04  6.44649908e+04  3.83e-07 6.57e-11  5.93e-07   292s
 124   6.44655549e+04  6.44649951e+04  3.75e-07 7.25e-13  5.81e-07   296s
 125   6.44655342e+04  6.44650168e+04  3.52e-07 8.78e-10  5.37e-07   301s
 126   6.44655006e+04  6.44650288e+04  3.00e-07 4.86e-12  4.90e-07   306s
 127   6.44654749e+04  6.44650596e+04  2.71e-07 2.03e-12  4.31e-07   310s
 128   6.44654591e+04  6.44650792e+04  2.52e-07 2.05e-12  3.94e-07   316s
 129   6.44654318e+04  6.44650859e+04  2.23e-07 1.62e-12  3.59e-07   319s
 130   6.44654215e+04  6.44650966e+04  2.16e-07 2.51e-11  3.37e-07   323s
 131   6.44653945e+04  6.44651027e+04  1.85e-07 3.12e-11  3.03e-07   328s
 132   6.44653871e+04  6.44651111e+04  1.81e-07 2.54e-11  2.86e-07   335s
 133   6.44653774e+04  6.44651125e+04  1.72e-07 2.11e-11  2.75e-07   342s
 134   6.44653673e+04  6.44651193e+04  1.65e-07 5.55e-11  2.57e-07   346s
 135   6.44653494e+04  6.44651254e+04  1.44e-07 5.35e-11  2.32e-07   353s
 136   6.44653393e+04  6.44651263e+04  1.34e-07 5.39e-11  2.21e-07   359s
 137   6.44653314e+04  6.44651366e+04  1.05e-07 1.44e-09  2.02e-07   363s
 138   6.44653222e+04  6.44651415e+04  1.28e-07 1.31e-09  1.88e-07   368s
 139   6.44653073e+04  6.44651455e+04  1.96e-06 7.00e-10  1.68e-07   371s
 140   6.44652999e+04  6.44651519e+04  1.78e-06 6.62e-10  1.54e-07   374s
 141   6.44652945e+04  6.44651542e+04  1.69e-06 6.18e-10  1.46e-07   377s
 142   6.44652897e+04  6.44651583e+04  3.44e-06 6.62e-10  1.36e-07   383s
 143   6.44652661e+04  6.44651644e+04  2.54e-06 5.36e-10  1.06e-07   388s
 144   6.44652600e+04  6.44651663e+04  2.32e-06 3.39e-10  9.72e-08   393s
 145   6.44652534e+04  6.44651704e+04  2.06e-06 6.78e-10  8.61e-08   396s
 146   6.44652522e+04  6.44651717e+04  2.14e-06 4.11e-10  8.36e-08   397s
 147   6.44652471e+04  6.44651746e+04  8.69e-06 1.02e-09  7.52e-08   402s
 148   6.44652367e+04  6.44651790e+04  3.57e-05 2.55e-08  5.98e-08   405s
 149   6.44652338e+04  6.44651844e+04  3.40e-05 1.87e-08  5.13e-08   407s
 150   6.44652325e+04  6.44651846e+04  3.24e-05 1.86e-08  4.96e-08   409s
 151   6.44652289e+04  6.44651911e+04  2.88e-05 1.26e-08  3.92e-08   412s
 152   6.44652271e+04  6.44651914e+04  2.70e-05 1.21e-08  3.70e-08   417s
 153   6.44652233e+04  6.44651924e+04  2.50e-05 1.08e-08  3.21e-08   419s
 154   6.44652222e+04  6.44651935e+04  2.54e-05 1.05e-08  2.97e-08   422s
 155   6.44652213e+04  6.44651937e+04  1.34e-05 1.05e-08  2.86e-08   425s
 156   6.44652207e+04  6.44651940e+04  1.30e-05 9.92e-09  2.77e-08   427s
 157   6.44652197e+04  6.44651943e+04  1.25e-05 9.48e-09  2.64e-08   430s
 158   6.44652165e+04  6.44651948e+04  1.07e-05 8.50e-09  2.26e-08   434s
 159   6.44652146e+04  6.44651950e+04  9.84e-06 8.42e-09  2.03e-08   436s
 160   6.44652144e+04  6.44651953e+04  9.83e-06 7.91e-09  1.97e-08   439s
 161   6.44652136e+04  6.44651963e+04  9.96e-06 7.11e-09  1.79e-08   441s
 162   6.44652123e+04  6.44651967e+04  9.21e-06 6.12e-09  1.62e-08   444s
 163   6.44652110e+04  6.44651973e+04  1.44e-05 6.35e-09  1.42e-08   447s
 164   6.44652102e+04  6.44651974e+04  1.85e-05 6.08e-09  1.33e-08   449s
 165   6.44652098e+04  6.44651978e+04  1.73e-05 4.93e-09  1.24e-08   453s
 166   6.44652084e+04  6.44651983e+04  1.82e-05 7.17e-09  1.05e-08   456s
