,FR,BE,DE,CH,IT,ES,UK,NL,IE,PT
CH4_export_revenue [M€/yr],2593.217338501723,1.4710255018193097e-08,1.4499942284478253e-08,174.99996782565623,1838.4299017000421,497.9593641917545,91.22730313374076,1.478444659860416e-08,1110.2272122440781,349.9999029855127
H2_trade_import_cost [M€/yr],0.0,5099.062354972322,5432.697451543719,0.0,4741.666043206184,0.0,7628.417003539983,0.0,0.0,0.0
H2_trade_export_revenue [M€/yr],4096.674926327057,0.0,0.0,2328.555345825995,0.0,3297.81532377755,0.0,2418.6031023760743,7699.111616316194,3061.0825386393385
lcoe_elec [€/MWh],87.93276100172291,144.04377807746894,100.56987359272561,68.62046119291989,103.82420715801472,73.40185013518817,134.59238532843153,138.14029767919047,94.83107062528025,73.69739800082564
lcoe_CH4 [€/MWh],47.03323866570749,146.05976167625298,58.75314761615277,77.50144647724008,105.32665816286007,77.12050964044226,116.7992204584012,157.7901243459108,51.963530842078896,87.23017555990486
lcoe_H2 [€/MWh],128.5560708853031,158.12124696797395,158.12124671212993,158.12124677396142,158.12124674637934,158.12124672162886,158.12124672655364,158.12124673215615,158.12124673661015,158.12124677608668
lcoe_elec_volume [€/MWh],82.02758808564185,93.66732044022473,90.98444610629487,63.4916283595584,83.73633560170524,72.4741469650258,100.25139767591277,121.25239771053457,110.17196242017683,74.49087208160488
lcoe_CH4_volume [€/MWh],51.606488203211924,118.03039490960687,58.49619745100683,88.57308078048658,106.26836210335406,78.62167947669322,107.41835157570273,141.89629777129784,86.10499890336794,101.76853764877002
lcoe_H2_volume [€/MWh],225.18355959456213,71.39875807834314,193.5631581247626,471.5922184460823,251.35024567026696,207.90782671902966,269.0384178320372,360.5993150450057,646.0185322100813,504.2870412220835
lcoe_elec_value [€/MWh],89.7733752617063,100.20647950397243,105.98044183098983,75.8828823813143,92.57481504795196,83.99039036136476,112.86763936265575,147.0756480756708,171.40770016585407,89.48936828774076
lcoe_CH4_value [€/MWh],51.60648813636067,118.0303950294655,58.49601613584272,88.57307835292683,106.26836213712693,78.62167897090336,107.41835162917666,141.8962978624561,86.10499985649062,101.76853291892915
lcoe_H2_value [€/MWh],145.58773918065864,42.36843525253441,127.67686617807801,312.0669387086371,132.12113409679878,142.08990732244837,148.1495109145357,238.13148991109813,500.520596512798,356.5574094690651
transport_and_distrib_lcoe [€/yr/MWh],,,,,,,,,,
