,FR,BE,DE,CH,IT,ES,UK,NL,IE,PT
CH4_exports [TWh/yr],21.657459864930612,5.573016328596278e-07,1.6411927521546755e-08,3.548463323608156e-07,5.535673587049976e-11,6.869991471167228e-07,2.6443603825171117e-08,7.613568309211965e-08,1.783994539199467,0.9958689896338984
CH4_net_imports [TWh/yr],-21.657459864930612,10.288658635816255,0.3368359153811521,-3.548463323608156e-07,7.102818944765075,1.4184730101934246,3.8323836058248957,1.4581536366294798,-1.783994539199467,-0.9958689896338984
H2_trade_imports [TWh/yr],0.0,33.67743198602737,29.093533699247743,0.0,21.27609925693703,0.0,37.08030217482051,0.0,0.0,0.0
H2_trade_exports [TWh/yr],12.209892564953492,0.0,0.0,14.71071603351952,0.0,21.361394498218747,0.0,10.253814859893588,44.29167064223558,18.299878518211738
H2_net_trade_imports [TWh/yr],-12.209892564953492,33.67743198602737,29.093533699247743,-14.71071603351952,21.27609925693703,-21.361394498218747,37.08030217482051,-10.253814859893588,-44.29167064223558,-18.299878518211738
CH4_import_cost [M€/yr],0.0,1800.8755364023252,58.952183661732164,0.0,1346.0282754165619,248.25772419496332,670.73421341468,255.20242151558557,0.0,0.0
CH4_export_revenue [M€/yr],3790.0554763843456,9.754729534488862e-05,2.872374572222342e-06,6.210431897846312e-05,1.0490445032502892e-08,0.000120236875117695,4.6280935087458205e-06,1.3325077129218533e-05,312.19904436375987,174.2770732059473
H2_trade_import_cost [M€/yr],0.0,4882.29302778915,4217.754987747257,0.0,3084.4439416815203,0.0,5375.614769307604,0.0,0.0,0.0
H2_trade_export_revenue [M€/yr],1770.0955751216395,0.0,0.0,2132.6455756495056,0.0,3096.809384568796,0.0,1486.5185926132913,6421.063068450091,2652.9745301222088
lcoe_elec [€/MWh],77.3132355210969,137.19215938030203,104.01066889080673,73.42806159296437,101.77607183129301,78.18794469182704,132.38516863775857,139.51280676334665,106.13703097253733,79.25683208238107
lcoe_CH4 [€/MWh],55.55019707560276,160.79103302670342,95.48104164802706,134.6058363892612,123.57557116010304,90.43928951045558,139.80217266279018,179.26153884133868,161.0099953224647,114.88610467201605
lcoe_H2 [€/MWh],125.93741215261343,192.84069639668576,168.45016929082914,187.10326326248898,166.05766283341634,169.68532948980683,182.3855997736304,166.33773361897872,174.5140046360545,170.01938705156883
lcoe_elec_volume [€/MWh],75.4389043297186,88.38356148456383,95.76626130229623,69.43625080410541,86.43159226794178,76.6705454420284,104.6588528041684,124.61888184225805,142.25757134350494,80.07904532869145
lcoe_CH4_volume [€/MWh],65.42821518434249,171.379833706815,99.98319780356302,131.36206463361518,142.0172205856579,88.50925096244052,157.523407819616,195.4878451007512,205.36240602871146,124.68159448060158
lcoe_H2_volume [€/MWh],182.84279517664717,48.54376675769517,195.53394915030952,505.1506455840119,219.61371840711524,215.58754955147455,262.3091053574268,349.7817983785233,653.9768703639205,514.7483890133838
lcoe_elec_value [€/MWh],80.15245889074552,95.31053636260708,107.85909955285128,78.56771133004582,95.08026693629796,85.25925752426477,113.89605408728374,144.5271487577598,181.93347812412435,91.07661122125938
lcoe_CH4_value [€/MWh],63.95958533430965,160.48190798168744,92.35534498782992,124.11804335300867,133.4155326857526,86.37595691636774,150.29046219738166,189.03683014396336,197.31311929895406,121.41821793266148
lcoe_H2_value [€/MWh],134.02535795794145,35.043294719393366,148.15970734372098,396.81168094911646,131.04955577923246,169.5590932267092,184.97520559303393,266.2630099609236,563.0596045424383,411.718395134174
transport_and_distrib_lcoe [€/yr/MWh],,,,,,,,,,
footprint [MtCO2eq/yr],71.70648310217383,71.70648310217383,71.70648310217383,71.70648310217383,71.70648310217383,71.70648310217383,71.70648310217383,71.70648310217383,71.70648310217383,71.70648310217383
