Date,Île-de-France,Centre-Val de Loire,Bourgogne-Franche-Comté,Normandie,Hauts-de-France,Grand Est,Pays de la Loire,Bretagne,Nouvelle-Aquitaine,Occitanie,Auvergne-Rhône-Alpes,Provence-Alpes-Côte d'Azur
2011-07-28,2371.2355267560215,591.5855323020796,805.4786356136898,942.518092629696,1607.0560764591335,1597.5239190735122,882.4526697271596,885.4989666888428,1123.998196209087,788.8316063473371,1824.4335533278318,597.126627365336
2011-07-29,2308.0642386777376,527.0616787549759,742.1812577131682,881.1497543886207,1481.7385527746858,1467.6893352645973,782.5171395190088,806.7865945413015,1044.402085412629,720.1554405978707,1683.21615790822,561.3202551237251
2011-07-30,2009.9489978549395,370.8189828355104,582.9254967369709,704.8266467835938,1142.5424302319973,1129.1990367000335,445.00133150038243,482.7556284810389,778.3448895321283,552.355116149252,1262.3278394843735,434.901546446367
2011-07-31,1976.793455153593,373.5007800649404,588.7297086845074,697.0573259239493,1115.8284433088436,1127.6201648124716,453.2469224368183,470.1952683412512,761.8384243798698,553.2758921161699,1282.4455537372974,441.7083824154771
2011-08-01,2198.379761941032,509.957198609286,718.7482825417248,829.0298931669455,1410.7365644994227,1421.9451391522837,784.4424042828822,794.2287562024437,1020.2534361168745,725.1394153391649,1617.389202897828,578.1933883748732
2011-08-02,2192.6100379254135,512.7075810550377,716.7182425424737,834.9633084492121,1422.920404538521,1444.823754771722,782.7561520862131,814.5672717101409,1030.5650899388777,726.4127694225066,1620.6912949289124,579.3283978448621
2011-08-03,2198.1735798596133,514.5200131028737,714.6060852157625,839.3288603770726,1433.126322711497,1445.5201269803104,795.1752904449376,824.3228714896865,1036.8229567928313,728.3252462621227,1611.3637812050922,581.1087858468401
2011-08-04,2226.5573424043737,521.6734797444963,714.7245069332234,850.4276007131633,1455.1793758173735,1442.4348219201654,805.7157432057866,837.0754372249136,1049.5282270328744,727.585786648848,1590.9582255589632,568.0173519675061
2011-08-05,2163.38605432609,457.14962619739254,651.4271290327019,789.0592624720881,1329.8618521329258,1312.6002381112505,705.7802129976358,758.3630650773723,969.9321162364164,658.9096208993816,1449.7408301393516,532.2109797258952
2011-08-06,1865.2708135032917,300.906930277927,492.1713680565046,612.7361548670611,990.6657295902373,974.1099395466867,368.26440497900944,434.3320990171097,703.8749203559156,491.109296450763,1028.852511715505,405.79227104853703
2011-08-07,1832.1152708019451,303.588727507357,497.9755800040411,604.9668340074167,963.9517426670836,972.5310676591248,376.5099959154453,421.77173887732204,687.3684552036572,492.03007241768086,1048.9702259684288,412.59910701764716
2011-08-08,2198.379761941032,509.957198609286,718.7482825417248,829.0298931669455,1410.7365644994227,1421.9451391522837,784.4424042828822,794.2287562024437,1020.2534361168745,725.1394153391649,1617.389202897828,578.1933883748732
2011-08-09,2192.6100379254135,512.7075810550377,716.7182425424737,834.9633084492121,1422.920404538521,1444.823754771722,782.7561520862131,814.5672717101409,1030.5650899388777,726.4127694225066,1620.6912949289124,579.3283978448621
2011-08-10,2198.1735798596133,514.5200131028737,714.6060852157625,839.3288603770726,1433.126322711497,1445.5201269803104,795.1752904449376,824.3228714896865,1036.8229567928313,728.3252462621227,1611.3637812050922,581.1087858468401
