Date,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Grand Est,Hauts-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur,Île-de-France
2016-05-01,5662.527955791096,1785.746102360899,1718.132256494265,1498.9665125861106,3967.9383749771628,4543.6756622196635,2315.841439613241,3653.8997263889905,3208.051436677874,2139.545656618209,3666.742844117612,5893.78896377025
2016-05-02,6546.703246777247,2132.909521785441,2116.8714296278063,1745.0150246333574,4595.774833105326,5100.70615976494,2654.48738948886,4163.290102830514,3616.019407243296,2659.9873166708176,3934.238906618945,6751.380818654518
2016-05-03,6698.155161104716,2195.3043817958446,2183.3345764778833,1787.1826257688626,4761.690124928269,5194.108586105091,2713.1212447875623,4241.668450771569,3675.0452952887995,2744.6931876216627,3972.870209253985,6842.87031092588
2016-05-04,6575.5538475073945,2147.100139664547,2125.5064941347864,1752.703228035501,4667.619572009948,5117.62623116974,2640.314472420861,4167.917653077099,3634.9621178575967,2699.2355640901887,3976.7431439274073,6686.689268436687
2016-05-05,5662.527955791096,1785.746102360899,1718.132256494265,1498.9665125861106,3967.9383749771628,4543.6756622196635,2315.841439613241,3653.8997263889905,3208.051436677874,2139.545656618209,3666.742844117612,5893.78896377025
2016-05-06,6599.063297322093,2159.9062180447886,2150.5317024909427,1760.7742298091619,4700.022806545917,5201.1681787780435,2674.4710886213998,4188.212177815553,3633.30310523939,2689.342162088907,3979.718704370227,6703.760102861616
2016-05-07,5707.791393369781,1812.4889516773883,1756.2396295908088,1511.264235385448,4060.5642861124584,4615.263979801051,2334.2167931972454,3718.1764413108826,3285.997358379556,2198.5477327650365,3764.4699266399016,5893.35917774132
2016-05-08,5662.527955791096,1785.746102360899,1718.132256494265,1498.9665125861106,3967.9383749771628,4543.6756622196635,2315.841439613241,3653.8997263889905,3208.051436677874,2139.545656618209,3666.742844117612,5893.78896377025
2016-05-09,6546.703246777247,2132.909521785441,2116.8714296278063,1745.0150246333574,4595.774833105326,5100.70615976494,2654.48738948886,4163.290102830514,3616.019407243296,2659.9873166708176,3934.238906618945,6751.380818654518
2016-05-10,6698.155161104716,2195.3043817958446,2183.3345764778833,1787.1826257688626,4761.690124928269,5194.108586105091,2713.1212447875623,4241.668450771569,3675.0452952887995,2744.6931876216627,3972.870209253985,6842.87031092588
2016-05-11,6741.32957503979,2211.1335906701042,2197.1456257118334,1799.435977183966,4797.905711854048,5242.169980862058,2721.9394750952097,4255.660000351429,3687.369121451882,2763.9738371672615,3985.5670709107826,6864.367436254496
2016-05-12,6733.359156247335,2209.539091622259,2198.368940366823,1798.3485169044834,4793.600046359408,5259.318423924027,2723.017174878433,4263.534340062932,3684.8676017423636,2764.0783309402327,3996.9919110590868,6804.0285765301305
2016-05-13,6810.102462433174,2250.6825183668357,2260.2782071645333,1819.8047017569643,4922.9348575253125,5397.300246051749,2774.4714448797527,4340.231240011775,3763.6560305353573,2813.082511312807,4086.2697138758917,6881.008484650496
2016-05-14,5873.5671209021775,1876.5224026829458,1827.8787611678558,1557.996984533913,4190.850425956558,4739.807729493369,2415.841795871594,3805.918788585212,3338.4043619738413,2263.286005842109,3773.293853623277,6071.03734555913
2016-05-15,5496.752228258701,1721.7126513553414,1646.4931249172182,1452.2337634376456,3837.6522351330627,4419.131912527346,2234.2164369388925,3566.157379114661,3155.6444330835884,2074.807383541136,3657.918917134237,5716.110795952441
2016-05-16,5662.527955791096,1785.746102360899,1718.132256494265,1498.9665125861106,3967.9383749771628,4543.6756622196635,2315.841439613241,3653.8997263889905,3208.051436677874,2139.545656618209,3666.742844117612,5893.78896377025
2016-05-17,6698.155161104716,2195.3043817958446,2183.3345764778833,1787.1826257688626,4761.690124928269,5194.108586105091,2713.1212447875623,4241.668450771569,3675.0452952887995,2744.6931876216627,3972.870209253985,6842.87031092588
2016-05-18,6741.32957503979,2211.1335906701042,2197.1456257118334,1799.435977183966,4797.905711854048,5242.169980862058,2721.9394750952097,4255.660000351429,3687.369121451882,2763.9738371672615,3985.5670709107826,6864.367436254496
