,BE,CH,DE,ES,IT,UK,IE,NL,PT
2022-07-27,8524.8146946768,6505.770931670651,52937.541676496876,26706.82215608489,33217.66020390749,23497.313914450046,3645.3813746522874,12487.021391372153,5999.438298784513
2022-07-28,8556.600486530526,6448.236104414048,52889.26178089477,26668.790940775296,33211.887769191,23405.779705879933,3647.781256945532,12527.735675213899,6010.014014855962
2022-07-29,8424.353322843901,6358.937195668039,51459.52017161212,26347.14371788668,32476.81196129998,22803.771130533918,3683.8335499702685,12332.064189973702,5937.491873981329
2022-07-30,7485.729716500717,5887.503179483804,43358.20299600935,22990.638337002052,26531.551263699865,20018.233886685026,3333.552662247666,10951.49719164043,5191.6125940348975
2022-07-31,7213.3082467704835,5760.8793624624095,40684.91411706763,21562.124837554646,23806.132006448915,19604.311540930663,3175.384452921329,10559.024045033795,4921.155772372453
2022-08-01,8465.215068115755,5723.493505748496,50577.1690471503,24422.192803893056,25805.53877016426,22573.83624073624,3231.5407661036625,12042.34122457687,5517.494109622576
2022-08-02,8610.260685106761,6329.74865353377,51589.31733488409,25225.328856187985,27348.724813005443,23043.11241959326,3622.9883370085163,12192.572241155916,5710.008392835597
2022-08-03,8607.280573585569,6344.865234788039,51785.70029378975,25330.237086060413,27520.833351036497,22996.817748397094,3634.2202985331487,12225.415461172423,5753.339635633476
2022-08-04,8639.066365439296,6287.330407531435,51737.42039818764,25292.20587075082,27515.060916320006,22905.28353982698,3636.620180826393,12266.129745014168,5763.915351704925
2022-08-05,8506.81920175267,6194.927521932731,50307.678788904996,24970.558647862203,26779.985108428984,22303.274964480966,3581.821653826265,12070.458259773972,5691.393210830292
2022-08-06,7568.195595409486,5726.597482601192,42206.36161330222,21614.053266977575,20834.724410828865,19517.737720632074,3322.391586128527,10689.891261440702,4945.513930883861
2022-08-07,7295.774125679253,5723.493505748496,39533.0727343605,20185.53976753017,18109.305153577916,19103.81537487771,3231.5407661036625,10297.418114834067,4675.057109221416
2022-08-08,8465.215068115755,6279.997893851715,50577.1690471503,24422.192803893056,25805.53877016426,22573.83624073624,3561.9042969471693,12042.34122457687,5517.494109622576
2022-08-09,8610.260685106761,6329.74865353377,51589.31733488409,25225.328856187985,27348.724813005443,23043.11241959326,3622.9883370085163,12192.572241155916,5710.008392835597
2022-08-10,8607.280573585569,6344.865234788039,51785.70029378975,25330.237086060413,27520.833351036497,22996.817748397094,3634.2202985331487,12225.415461172423,5753.339635633476
2022-08-11,8639.066365439296,6287.330407531435,51737.42039818764,25292.20587075082,27515.060916320006,22905.28353982698,3636.620180826393,12266.129745014168,5763.915351704925
2022-08-12,8779.240671482903,6194.927521932731,50307.678788904996,26399.07214730961,29505.404365679933,22303.274964480966,3581.821653826265,12070.458259773972,5961.850032492737
2022-08-13,7568.195595409486,5726.597482601192,42206.36161330222,21614.053266977575,20834.724410828865,19517.737720632074,3322.391586128527,10689.891261440702,4945.513930883861
2022-08-14,7154.391711958064,5723.493505748496,39533.0727343605,18669.340946855453,15752.820303137363,19103.81537487771,3231.5407661036625,10297.418114834067,4572.111146441482
2022-08-15,7295.774125679253,6279.997893851715,50577.1690471503,20185.53976753017,18109.305153577916,22573.83624073624,3561.9042969471693,12042.34122457687,4675.057109221416
2022-08-16,8610.260685106761,6329.74865353377,51589.31733488409,25225.328856187985,27348.724813005443,23043.11241959326,3622.9883370085163,12192.572241155916,5710.008392835597
